objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237648720679076369,23.10595,20.66453,18.96979,18.31188,17.78633,0.3691974,25.14164,22.25788,20.56831,19.8685,19.27691,23.10595,20.66453,18.96979,18.31188,17.78633,146.192460179755,-0.508261989451007,3,GALAXY,null
1237648721215881342,18.53085,16.5696,15.63575,15.19359,14.81316,0.03673035,20.00671,18.09088,17.1671,16.75481,16.304,18.53085,16.5696,15.63575,15.19359,14.81316,146.05730387255,-0.0970296857105921,3,GALAXY,null
1237661382236307764,24.34366,22.12065,20.57187,19.5682,18.98692,0.5297179,24.23231,22.80094,21.26803,20.38399,19.69273,24.34366,22.12065,20.57187,19.5682,18.98692,148.055493657034,35.3295552623658,3,GALAXY,null
1237661382773440711,19.70524,17.89358,16.7187,16.25648,15.86245,0.1854961,22.13639,20.08626,18.83648,18.429,18.05844,19.70524,17.89358,16.7187,16.25648,15.86245,148.459514523343,35.9927022922787,3,GALAXY,null
1237662238021386587,19.25096,18.01749,17.47042,17.12019,16.88719,0.08041793,21.38761,20.19293,19.79363,19.53484,19.11568,19.25096,18.01749,17.47042,17.12019,16.88719,226.819936658265,7.81617909243436,3,GALAXY,STARFORMING
1237680444371633396,22.18642,21.999,21.43615,21.48578,22.12724,0.2325289,22.12349,22.04712,21.49319,21.56928,21.86143,22.18642,21.999,21.43615,21.48578,22.12724,330.709398964065,25.7816231656672,6,GALAXY,STARBURST
1237680444371566874,22.2336,21.19394,20.75642,19.98713,20.19818,0.08983708,22.10531,21.75686,21.55908,20.80886,20.80166,22.2336,21.19394,20.75642,19.98713,20.19818,330.638172416433,25.7563275742975,6,GALAXY,null
1237680444371437372,24.10038,23.41261,21.89172,20.42548,19.73702,0.6636478,23.92336,23.87003,22.29169,20.82044,20.06495,24.10038,23.41261,21.89172,20.42548,19.73702,330.354756655258,25.6297125154534,3,GALAXY,null
1237680444371437244,23.49821,23.14333,21.52561,20.38703,19.69967,0.561047,23.29088,23.528,21.97459,20.8779,20.10621,23.49821,23.14333,21.52561,20.38703,19.69967,330.19012471768,25.7457185901361,3,GALAXY,null
1237680443834565952,24.38297,23.03329,21.69366,20.56763,19.86471,0,24.12077,23.07966,21.72372,20.60458,19.90994,24.38297,23.03329,21.69366,20.56763,19.86471,330.436502295221,25.2186293075231,6,GALAXY,null
1237680443834500504,22.16316,21.87303,21.50263,21.73451,20.74341,0.7125847,22.24866,21.94405,21.61274,21.79677,20.77378,22.16316,21.87303,21.50263,21.73451,20.74341,330.306075537251,25.2088283974893,6,GALAXY,null
1237680443297892010,23.17236,25.41449,21.52549,20.37144,19.62059,0.7159668,23.37116,24.71927,22.5568,21.31098,20.53304,23.17236,25.41449,21.52549,20.37144,19.62059,330.98085410653,25.015418418602,3,GALAXY,null
1237680333776093857,22.45798,22.24177,21.81849,21.62635,21.5134,0.6115928,22.22384,22.30983,21.81853,21.66551,21.46896,22.45798,22.24177,21.81849,21.62635,21.5134,330.211577243309,26.2847015060945,6,GALAXY,null
1237680333239224079,25.3362,23.04813,21.4532,20.3775,19.62512,0.5321167,24.63827,23.51314,22.03332,20.96794,20.33733,25.3362,23.04813,21.4532,20.3775,19.62512,330.388167035876,26.0186117552404,3,GALAXY,null
1237680333239158994,24.86055,23.26998,21.58565,20.438,19.72287,0.5567204,24.74356,23.68882,22.24066,21.10024,20.38186,24.86055,23.26998,21.58565,20.438,19.72287,330.23750982734,25.9436224559674,3,GALAXY,null
1237680333239158965,23.40887,23.23297,21.69387,20.37937,19.69158,0.6831902,24.08092,23.8382,22.4069,21.12513,20.39147,23.40887,23.23297,21.69387,20.37937,19.69158,330.223827526458,25.908554641437,3,GALAXY,null
1237680332702483421,21.7717,21.54434,21.01531,20.64531,20.68672,0.5464748,21.79625,21.57778,21.08645,20.69661,20.72441,21.7717,21.54434,21.01531,20.64531,20.68672,330.781853412218,25.5370685095603,6,GALAXY,STARBURST
1237680332702352697,22.74986,22.38999,21.94333,22.01825,21.49795,1.564917,22.82395,22.36551,22.05741,22.13087,21.36444,22.74986,22.38999,21.94333,22.01825,21.49795,330.428763050566,25.5998748354408,6,GALAXY,null
1237680332702287802,23.10751,23.97021,21.94882,20.68752,19.75764,0.6623241,23.44405,24.29713,22.88885,21.49318,20.52111,23.10751,23.97021,21.94882,20.68752,19.75764,330.333285268705,25.5278638024369,3,GALAXY,null
1237680332702287426,23.04069,21.9287,21.54782,20.44115,19.03735,0.8064296,24.13044,23.23696,22.82724,21.80892,19.62936,23.04069,21.9287,21.54782,20.44115,19.03735,330.40574167554,25.4381043964974,3,GALAXY,null
1237680332165548057,25.62249,24.19223,21.75589,20.57372,19.7716,0.784353,24.59462,24.7293,22.80814,21.57157,20.5396,25.62249,24.19223,21.75589,20.57372,19.7716,330.848761997238,25.1604284555406,3,GALAXY,null
1237680332165548046,23.09043,22.9628,21.35594,20.08421,19.31582,0.5987053,23.85496,24.05391,22.70035,21.30619,20.50033,23.09043,22.9628,21.35594,20.08421,19.31582,330.849035882839,25.137635010292,3,GALAXY,null
1237680332165482458,25.85909,23.67921,21.46526,20.08262,19.373,0.7768906,25.24877,24.40967,22.7032,21.3316,20.45772,25.85909,23.67921,21.46526,20.08262,19.373,330.686915985594,25.2491683356401,3,GALAXY,null
1237680332165416724,25.07862,22.85696,21.74798,20.52383,19.80931,0.6032279,25.2429,23.80382,22.78366,21.5359,20.77373,25.07862,22.85696,21.74798,20.52383,19.80931,330.531160609025,25.1526408896415,3,GALAXY,null
1237680331628677097,23.97343,23.7232,21.76839,20.66671,19.92825,0.6204602,24.55815,23.90645,22.52689,21.35368,20.59388,23.97343,23.7232,21.76839,20.66671,19.92825,330.97752924655,24.8286951466275,3,GALAXY,null
1237664669506535955,24.63151,23.87146,21.65577,20.55773,19.92381,0.5818245,24.49285,23.74039,21.75639,20.72238,20.06906,24.63151,23.87146,21.65577,20.55773,19.92381,148.46362469205,34.8641296903098,3,GALAXY,null
1237664669506535833,24.40069,22.51852,20.78965,19.89003,19.39305,0.4888797,24.64468,22.86056,21.17368,20.38215,19.86083,24.40069,22.51852,20.78965,19.89003,19.39305,148.388882155843,34.865850954437,3,GALAXY,null
1237664669506470736,22.85002,22.73783,20.71853,19.51995,19.05239,0.6399072,23.29767,23.37103,21.48277,20.30138,19.88678,22.85002,22.73783,20.71853,19.51995,19.05239,148.264636224628,34.811042471892,3,GALAXY,null
1237664669506470106,21.82225,19.63472,18.24332,17.63361,17.25685,0.2677127,22.71194,20.92737,19.55798,18.95811,18.59373,21.82225,19.63472,18.24332,17.63361,17.25685,148.240455335995,34.8062142002768,3,GALAXY,null
1237662269150856338,25.48005,23.0795,21.37001,20.18654,19.70028,0.6424171,25.07898,23.73451,21.97677,20.78163,20.32634,25.48005,23.0795,21.37001,20.18654,19.70028,234.935775314917,5.99973013016607,3,GALAXY,null
1237662269150856327,24.30784,23.33375,21.27558,19.97766,19.59561,0.6421564,24.61293,24.3651,22.2345,20.94208,20.32315,24.30784,23.33375,21.27558,19.97766,19.59561,234.919926895612,5.92416821400337,3,GALAXY,null
1237662269150855930,23.75777,22.59741,20.96465,19.98808,20.00186,0.4215168,24.63864,23.28191,21.96855,20.97894,20.59062,23.75777,22.59741,20.96465,19.98808,20.00186,234.913580816845,5.9656012001545,3,GALAXY,null
1237662269150855839,25.4425,21.97433,20.30803,19.26842,18.79579,0.5610408,24.21133,22.99634,21.45218,20.31259,19.82322,25.4425,21.97433,20.30803,19.26842,18.79579,234.883725595256,5.98805171833697,3,GALAXY,null
1237662269150855600,25.67896,23.41359,21.07296,19.75914,19.2473,0.7226418,24.87201,24.4913,22.24832,20.78996,19.99726,25.67896,23.41359,21.07296,19.75914,19.2473,234.976995975364,5.989142229628,3,GALAXY,null
1237662269150790434,22.56965,22.11364,20.93665,20.00865,19.49457,0.6191538,23.50058,23.09397,22.08207,21.07394,20.34224,22.56965,22.11364,20.93665,20.00865,19.49457,234.781114904763,6.04363716685695,3,GALAXY,null
1237662269150790412,23.43451,22.02428,20.29342,19.35136,18.86747,0.501125,24.08992,23.37308,21.66127,20.64992,20.05081,23.43451,22.02428,20.29342,19.35136,18.86747,234.772579763813,6.02172876248694,3,GALAXY,null
1237662269150725405,24.177,23.19795,21.35158,20.13969,19.63035,0.6372417,24.70965,23.81492,22.07263,20.86497,20.27162,24.177,23.19795,21.35158,20.13969,19.63035,234.670462640017,6.00484964904995,3,GALAXY,null
1237662269150659875,25.51336,22.33497,20.74713,19.50611,18.96184,0.7091168,24.87085,23.40775,22.15088,20.74928,20.18122,25.51336,22.33497,20.74713,19.50611,18.96184,234.547514668446,6.04568231065775,3,GALAXY,null
1237662269150658793,24.02875,22.18247,21.05116,20.2517,20.19945,0.3045072,24.00531,22.8175,21.94216,21.05713,20.78088,24.02875,22.18247,21.05116,20.2517,20.19945,234.573832157203,5.95080006194795,3,GALAXY,null
1237662268614050876,22.57318,22.06105,20.42202,19.58471,19.18446,0.5182618,23.44869,23.01967,21.61531,20.66306,20.00003,22.57318,22.06105,20.42202,19.58471,19.18446,235.108690881577,5.46619269073256,3,GALAXY,null
1237662268613984890,24.77428,22.05203,20.2298,19.40707,18.91836,0.4489576,24.30907,22.6359,21.00796,20.16218,19.62516,24.77428,22.05203,20.2298,19.40707,18.91836,234.863790846399,5.64967119024714,3,GALAXY,null
1237662268613984852,24.40784,22.40638,20.87309,19.81071,19.3356,0.5759457,24.50055,22.94565,21.60418,20.5243,20.00125,24.40784,22.40638,20.87309,19.81071,19.3356,234.852991949548,5.6314481034257,3,GALAXY,null
1237662268613984644,21.84842,19.68591,18.19895,17.61263,17.2615,0.2682335,23.61827,21.34605,19.87086,19.29178,18.76886,21.84842,19.68591,18.19895,17.61263,17.2615,234.876048711607,5.57855081043538,3,GALAXY,null
1237662268613984388,22.16517,19.94514,18.35938,17.79504,17.42076,0.2660701,23.13051,21.04607,19.52814,19.00254,18.49851,22.16517,19.94514,18.35938,17.79504,17.42076,234.956820410637,5.55455497311349,3,GALAXY,null
1237662268613853701,22.57447,20.3319,18.68301,18.08876,17.71138,0.3133578,23.65314,21.32196,19.82995,19.25713,18.80602,22.57447,20.3319,18.68301,18.08876,17.71138,234.566910163945,5.62963059106098,3,GALAXY,null
1237662264858902882,18.40503,17.45249,17.06273,16.73081,16.60566,0.07857173,20.17174,19.24023,19.0928,18.69939,18.37523,18.40503,17.45249,17.06273,16.73081,16.60566,227.092443088735,8.35016231894681,3,GALAXY,STARBURST
1237662264858902794,19.45565,17.94677,17.28628,16.89804,16.6211,0.07878794,20.84564,19.4165,18.90174,18.46983,18.07012,19.45565,17.94677,17.28628,16.89804,16.6211,227.024404608079,8.36268163520326,3,GALAXY,STARFORMING
1237662264858837335,25.80401,20.52158,18.72524,18.11666,17.71226,0.3813373,25.37918,21.62513,19.9837,19.33981,18.78447,25.80401,20.52158,18.72524,18.11666,17.71226,226.904828511147,8.45650333639671,3,GALAXY,null
1237662264858837319,20.31281,18.22297,17.28493,16.84736,16.54067,0.07890936,21.30869,19.36638,18.54594,18.08398,17.64649,20.31281,18.22297,17.28493,16.84736,16.54067,227.012484468072,8.30877446253383,3,GALAXY,null
1237662264858771875,19.66885,18.3086,17.63796,17.28398,17.0658,0.08053388,21.72186,20.65928,20.1086,19.73914,19.16848,19.66885,18.3086,17.63796,17.28398,17.0658,226.877331557916,8.42403310737424,3,GALAXY,null
1237662264858771827,19.01974,17.67701,17.03634,16.66926,16.40689,0.07778167,20.82598,19.41455,18.83471,18.42907,17.93953,19.01974,17.67701,17.03634,16.66926,16.40689,226.825783603538,8.32894508249243,3,GALAXY,STARFORMING
1237662264858771799,19.49634,18.1698,17.48789,17.01925,16.69972,0.08388571,21.19924,20.03906,19.36571,18.83479,18.25852,19.49634,18.1698,17.48789,17.01925,16.69972,226.816698535126,8.35672133324641,3,GALAXY,STARFORMING
1237662264858771768,20.01677,18.14161,17.22804,16.8171,16.51257,0.07838043,20.97869,19.27728,18.45794,18.03623,17.5931,20.01677,18.14161,17.22804,16.8171,16.51257,226.797007530423,8.41462321612491,3,GALAXY,null
1237662264858771739,20.33842,18.9099,18.30244,18.09053,18.02381,0.04617809,20.81686,19.37859,18.76392,18.56282,18.46535,20.33842,18.9099,18.30244,18.09053,18.02381,226.781429953766,8.36065993714803,3,GALAXY,STARFORMING
1237662264858771619,19.99906,17.97625,17.06131,16.6406,16.33366,0.07964807,21.09298,19.02347,18.17864,17.73451,17.28533,19.99906,17.97625,17.06131,16.6406,16.33366,226.850008388931,8.50590578282278,3,GALAXY,null
1237662264322162982,20.00704,18.12462,17.26835,16.86926,16.56565,0.07541111,21.30633,19.39897,18.70438,18.28164,17.87256,20.00704,18.12462,17.26835,16.86926,16.56565,227.306588211045,7.90581385167896,3,GALAXY,null
1237662264322097388,20.54314,18.71417,17.64948,17.12018,16.78061,0.1421113,22.19871,20.44388,19.52737,18.97335,18.46499,20.54314,18.71417,17.64948,17.12018,16.78061,227.19024860465,7.89192764681073,3,GALAXY,null
1237662264322097319,18.90282,17.15224,16.27998,15.82848,15.50831,0.0730767,21.32378,19.31441,18.6084,18.10766,17.61045,18.90282,17.15224,16.27998,15.82848,15.50831,227.126509544273,7.90904489179431,3,GALAXY,null
1237662264322032030,19.15313,18.07011,17.44949,17.10993,16.94955,0.1674211,21.60999,20.7063,20.29466,19.8739,19.44867,19.15313,18.07011,17.44949,17.10993,16.94955,226.987539084752,8.04735593988061,3,GALAXY,STARFORMING
1237662264322031992,19.17407,17.39485,16.45196,15.9597,15.60281,0.07843804,21.42597,19.63272,18.8282,18.28439,17.76306,19.17407,17.39485,16.45196,15.9597,15.60281,227.105484203725,7.88243198858176,3,GALAXY,null
1237662264322031946,18.66898,17.25433,16.55568,16.21589,15.98983,0.09009433,21.80517,20.14085,19.65138,19.23948,18.70511,18.66898,17.25433,16.55568,16.21589,15.98983,227.083198078018,7.97935674147194,3,GALAXY,STARFORMING
1237662264322031944,19.31297,18.02265,17.39332,17.01107,16.76975,0.07340395,21.47242,20.09451,19.71185,19.30706,18.7836,19.31297,18.02265,17.39332,17.01107,16.76975,227.076032249017,7.94940898951611,3,GALAXY,null
1237662264322031910,20.40699,18.33735,17.37275,16.93202,16.59941,0.09719457,21.43425,19.3856,18.5561,18.10222,17.67055,20.40699,18.33735,17.37275,16.93202,16.59941,227.034906531715,7.90996548170179,3,GALAXY,null
1237662264322031859,20.53182,18.47133,17.35474,16.86924,16.532,0.1402797,21.75023,19.55084,18.59599,18.10643,17.63255,20.53182,18.47133,17.35474,16.86924,16.532,227.019967125079,8.06720609241356,3,GALAXY,null
1237662264322031821,19.31933,17.95697,17.19656,16.80187,16.50139,0.1102088,21.72895,20.01115,19.4266,18.98984,18.46726,19.31933,17.95697,17.19656,16.80187,16.50139,226.980406909384,7.93201933164781,3,GALAXY,STARFORMING
1237662264322031675,20.10028,18.06932,16.90059,16.45137,16.08553,0.1431313,21.4843,19.49757,18.55348,18.06894,17.56577,20.10028,18.06932,16.90059,16.45137,16.08553,227.017616591926,7.93970647860755,3,GALAXY,null
1237662264321966363,18.76105,17.613,17.16295,16.88738,16.7938,0.07757737,21.53167,20.49222,20.19399,19.99423,19.53802,18.76105,17.613,17.16295,16.88738,16.7938,226.955233991729,7.97244638884774,3,GALAXY,STARFORMING
1237662264321966234,19.70842,17.69896,16.71004,16.21805,15.81967,0.07496418,21.02732,18.99418,18.14731,17.66924,17.14564,19.70842,17.69896,16.71004,16.21805,15.81967,226.868178678155,8.05028832155616,3,GALAXY,BROADLINE
1237662264321900879,19.12509,17.79472,17.14124,16.77913,16.53641,0.07917245,21.10964,19.72722,19.25505,18.90873,18.5037,19.12509,17.79472,17.14124,16.77913,16.53641,226.801937595495,7.9956179515809,3,GALAXY,STARFORMING
1237662264321900867,19.33172,18.0824,17.37804,17.02002,16.73908,0.1330829,21.98565,20.54335,19.93884,19.60398,19.05069,19.33172,18.0824,17.37804,17.02002,16.73908,226.804911391063,8.04957061286008,3,GALAXY,null
1237662264321900857,19.97721,17.86554,16.87643,16.47164,16.09873,0.1386834,22.31517,19.96935,19.05492,18.65695,18.16905,19.97721,17.86554,16.87643,16.47164,16.09873,226.783732842396,7.92671838990331,3,GALAXY,null
1237662264321900854,19.54615,17.78622,16.81157,16.37134,16.03736,0.1176159,21.33724,19.4599,18.60734,18.16504,17.62972,19.54615,17.78622,16.81157,16.37134,16.03736,226.791229814188,8.02758169176988,3,GALAXY,null
1237662264321900824,18.76326,18.00976,17.76954,17.55274,17.7518,0.04074683,21.11698,20.64815,20.90006,20.84247,20.69016,18.76326,18.00976,17.76954,17.55274,17.7518,226.770837710127,7.96906443591766,3,GALAXY,STARBURST
1237662264321900802,18.92764,17.73163,17.05743,16.71008,16.49586,0.117648,20.58039,19.69973,19.19464,18.81888,18.51984,18.92764,17.73163,17.05743,16.71008,16.49586,226.770762342575,8.02621014075047,3,GALAXY,STARFORMING
1237662264321900786,20.81526,18.74899,17.65737,17.21892,16.86545,0.1421545,21.89701,19.76425,18.79824,18.40456,17.90943,20.81526,18.74899,17.65737,17.21892,16.86545,226.750659416905,7.91625366155593,3,GALAXY,null
1237662264321900779,18.94846,17.88626,17.45666,17.24181,17.09615,0.03162299,21.05788,19.89233,19.67735,19.54661,19.10172,18.94846,17.88626,17.45666,17.24181,17.09615,226.767028076947,8.10408976459092,3,GALAXY,STARFORMING
1237662264321900739,18.19901,16.95553,16.55285,16.35176,16.12096,0.03137407,21.53228,20.33767,20.08879,19.99245,19.49363,18.19901,16.95553,16.55285,16.35176,16.12096,226.730386130275,7.99399254338219,3,GALAXY,STARFORMING
1237662264321900707,20.17156,18.75126,17.83134,17.39664,17.02364,0.1444922,21.98797,20.54958,19.72669,19.29228,18.72634,20.17156,18.75126,17.83134,17.39664,17.02364,226.702374249022,7.97799405134505,3,GALAXY,null
1237662264321900668,19.86156,17.82038,16.72874,16.301,15.97275,0.1423938,22.01507,20.01471,19.07034,18.66873,18.13233,19.86156,17.82038,16.72874,16.301,15.97275,226.678859331489,7.9488605846238,3,GALAXY,null
1237662264321900662,18.64923,16.75346,15.84074,15.36373,14.99438,0.04561079,20.46141,18.45367,17.6127,17.12061,16.57606,18.64923,16.75346,15.84074,15.36373,14.99438,226.675113447059,7.97789607146857,3,GALAXY,null
1237662264321835477,19.14901,18.13983,17.67789,17.38695,17.22542,0.08029928,21.88923,20.848,20.51793,20.30549,19.75972,19.14901,18.13983,17.67789,17.38695,17.22542,226.603926247783,7.95684013133629,3,GALAXY,STARFORMING
1237662264321835405,18.8268,16.94477,16.12291,15.73171,15.41239,0.03850922,20.74916,18.85869,18.22628,17.8626,17.31464,18.8268,16.94477,16.12291,15.73171,15.41239,226.630543499119,7.94111777452407,3,GALAXY,null
1237662264321835333,19.87144,17.98491,16.88233,16.43769,16.06015,0.1416325,21.36831,19.44134,18.47707,18.0801,17.55368,19.87144,17.98491,16.88233,16.43769,16.06015,226.594633796062,8.02348764145818,3,GALAXY,null
1237662264321835289,20.10811,18.13038,17.10201,16.67094,16.36912,0.1429,22.13654,20.04694,19.09296,18.67219,18.14189,20.10811,18.13038,17.10201,16.67094,16.36912,226.570523410126,8.0408511063783,3,GALAXY,null
1237662264321704169,17.7235,16.40991,15.83896,15.48037,15.23147,0.03919915,19.85989,18.66331,18.30062,17.89059,17.3019,17.7235,16.40991,15.83896,15.48037,15.23147,226.324528307909,8.15355896906005,3,GALAXY,STARBURST
1237662264321638864,19.36518,17.48089,16.54333,16.1358,15.81739,0.09108875,20.52957,18.6047,17.78834,17.39778,16.95079,19.36518,17.48089,16.54333,16.1358,15.81739,226.193283135892,8.00402501622593,3,GALAXY,null
1237662264321638752,19.77236,17.98194,17.06328,16.57621,16.20803,0.08385155,21.78415,19.83258,19.02724,18.52328,17.92905,19.77236,17.98194,17.06328,16.57621,16.20803,226.153975117539,7.98339056913004,3,GALAXY,null
1237662264321638696,19.084,17.25397,16.33492,15.90059,15.57265,0.08279198,20.72994,18.83359,18.0953,17.65277,17.19961,19.084,17.25397,16.33492,15.90059,15.57265,226.125312290111,8.02363332162404,3,GALAXY,null
1237662264321638666,19.12253,17.35749,16.46016,16.03749,15.71486,0.09087808,21.01395,19.13095,18.39582,17.98769,17.4804,19.12253,17.35749,16.46016,16.03749,15.71486,226.105551340688,8.04316449435382,3,GALAXY,null
1237662264321638664,18.80828,17.36917,16.56408,16.14851,15.84841,0.08201299,20.92793,19.52043,18.87335,18.44876,17.95542,18.80828,17.36917,16.56408,16.14851,15.84841,226.093692024046,7.99378979379347,3,GALAXY,STARFORMING
1237662263788634978,22.21022,20.69202,18.93325,18.29749,17.82575,0.3213677,23.69698,22.0652,20.35372,19.76345,19.26463,22.21022,20.69202,18.93325,18.29749,17.82575,234.915582783819,6.50052422381395,3,GALAXY,STARFORMING
1237662263788634272,25.85009,22.7368,20.77308,19.78365,19.21118,0.5042991,25.47858,23.56033,21.87101,20.95071,20.18657,25.85009,22.7368,20.77308,19.78365,19.21118,234.977713896772,6.52253102717789,3,GALAXY,null
1237662263788569517,22.92701,22.31888,20.61014,19.76628,19.15856,0.5050836,23.67819,23.11301,21.48392,20.66648,19.92486,22.92701,22.31888,20.61014,19.76628,19.15856,234.793165412657,6.52500883416526,3,GALAXY,null
1237662263788504044,23.71844,22.14208,20.27502,19.4068,18.89228,0.4499304,23.91525,22.70615,20.87859,20.0606,19.51017,23.71844,22.14208,20.27502,19.4068,18.89228,234.62138166669,6.61601102920053,3,GALAXY,null
1237662263788503892,22.69061,21.53603,20.69466,19.89052,19.39413,0.5109807,23.83706,22.6757,21.91848,21.14952,20.38101,22.69061,21.53603,20.69466,19.89052,19.39413,234.597125593369,6.63839790420972,3,GALAXY,null
1237662263788438075,23.81175,22.5554,20.90891,19.903,19.56885,0.5839741,24.45484,23.34563,21.82487,20.83995,20.20517,23.81175,22.5554,20.90891,19.903,19.56885,234.422565323168,6.66663314899094,3,GALAXY,null
1237662263788373200,26.15349,22.8486,20.76253,19.55094,18.83802,0.6830634,23.86124,23.81606,22.11071,20.90412,20.09761,26.15349,22.8486,20.76253,19.55094,18.83802,234.259934178813,6.5741300253816,3,GALAXY,null
1237662263788373116,23.15212,21.16153,19.32577,18.67313,18.14782,0.3825681,23.83719,22.56958,20.65802,20.03427,19.53022,23.15212,21.16153,19.32577,18.67313,18.14782,234.403962240065,6.6267845699199,3,GALAXY,null
1237662263788373090,26.19541,23.94774,21.4949,20.24135,19.78078,0.6518326,25.91053,24.3929,21.91414,20.76661,20.13922,26.19541,23.94774,21.4949,20.24135,19.78078,234.39764412591,6.60627381596165,3,GALAXY,null
1237662263788372879,22.55123,21.95629,20.74277,19.84968,19.62556,0.5884662,23.70443,22.78838,21.67485,20.83612,20.44669,22.55123,21.95629,20.74277,19.84968,19.62556,234.356335021597,6.71571412894272,3,GALAXY,null
1237662263788372641,23.15139,22.49189,20.86335,19.92951,19.66649,0.4435422,23.62999,23.01183,21.41312,20.51886,20.21654,23.15139,22.49189,20.86335,19.92951,19.66649,234.280650407461,6.59608131025818,3,GALAXY,null
1237662263788372635,25.77721,22.62324,20.96173,20.09337,19.35216,0.5151406,24.76728,23.29224,21.80879,21.0205,20.22657,25.77721,22.62324,20.96173,20.09337,19.35216,234.287082334646,6.67077093874993,3,GALAXY,null
1237662263785292156,19.84389,17.97991,17.10306,16.69736,16.38938,0.07737261,21.32923,19.37602,18.65391,18.261,17.85627,19.84389,17.97991,17.10306,16.69736,16.38938,227.328836321823,7.62491615302428,3,GALAXY,null
1237662263785292112,20.26789,18.44252,17.56857,17.14864,16.87328,0.07408839,21.42685,19.65325,18.93369,18.50286,18.14816,20.26789,18.44252,17.56857,17.14864,16.87328,227.303342312236,7.62397982309078,3,GALAXY,null
1237662263785292023,17.67819,16.47567,15.94513,15.63973,15.41266,0.03191669,20.27564,18.90517,18.62553,18.2774,17.93136,17.67819,16.47567,15.94513,15.63973,15.41266,227.241070490763,7.62018709910415,3,GALAXY,STARFORMING
