objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237648720672456843,19.09794,18.862,18.62111,18.63129,18.50032,1.021404,19.09332,18.86416,18.61784,18.62979,18.48529,19.09794,18.862,18.62111,18.63129,18.50032,131.084437909978,-0.452056239658569,6,QSO,BROADLINE
1237648721209262485,19.37514,19.10271,19.04302,18.82779,18.83307,1.630802,19.35772,19.11467,19.05867,18.83196,18.85447,19.37514,19.10271,19.04302,18.82779,18.83307,131.003111153457,-0.160727780763557,6,QSO,BROADLINE
1237648721209328431,23.17341,21.88116,21.17561,21.05995,20.49997,2.451194,23.1609,21.97578,21.27882,21.1877,20.58229,23.17341,21.88116,21.17561,21.05995,20.49997,131.07425314693,-0.064992818864715,3,QSO,null
1237648721209393741,20.63601,20.63088,20.45119,20.61853,20.40845,0.9743945,20.66001,20.64027,20.48331,20.67206,20.46385,20.63601,20.63088,20.45119,20.61853,20.40845,131.226256501891,-0.0406830354317806,6,QSO,null
1237648721746068071,21.49543,21.4045,21.24363,20.96151,21.05701,1.73763,21.4986,21.43789,21.26963,20.99362,21.02503,21.49543,21.4045,21.24363,20.96151,21.05701,130.88232311981,0.235083357245126,6,QSO,null
1237648721746133640,21.99129,21.52172,21.15316,20.75638,20.15494,0.4600141,21.99976,21.64135,21.2704,20.86253,20.32649,21.99129,21.52172,21.15316,20.75638,20.15494,130.922724724344,0.280996187965492,6,QSO,null
1237648721746199143,21.35274,21.15192,21.07755,21.08892,20.49758,0.8292745,21.36449,21.14062,21.06413,21.09171,20.4747,21.35274,21.15192,21.07755,21.08892,20.49758,131.091966530187,0.322612346448502,6,QSO,null
1237648722283004450,19.52841,19.40357,19.06649,18.91782,18.37051,0.2809144,19.64718,19.56664,19.26699,19.17575,18.6162,19.52841,19.40357,19.06649,18.91782,18.37051,130.990221904597,0.686466989717658,3,QSO,BROADLINE
1237650795676434822,19.88451,19.47929,19.29118,19.41586,19.17053,0.9019001,19.90744,19.52084,19.3298,19.4558,19.21985,19.88451,19.47929,19.29118,19.41586,19.17053,130.856668203184,-0.310221518620633,6,QSO,BROADLINE
1237650795676500321,19.85963,19.02558,18.21803,17.72244,17.48365,0.2281968,20.41527,19.68218,18.86768,18.36145,18.19961,19.85963,19.02558,18.21803,17.72244,17.48365,130.997468767945,-0.249372604801412,3,QSO,STARBURST BROADLINE
1237650795676566126,21.91176,21.81903,21.65028,21.32945,21.634,1.643033,21.9129,21.84364,21.66977,21.39841,21.70066,21.91176,21.81903,21.65028,21.32945,21.634,131.110767114227,-0.331057057025581,6,QSO,null
1237650796213568008,19.95644,19.76156,19.99594,19.86895,19.49639,0.4452609,19.95714,19.78631,20.01996,19.89762,19.52766,19.95644,19.76156,19.99594,19.86895,19.49639,131.490868155666,0.0312773878851042,6,QSO,BROADLINE
1237650796213633512,21.98633,20.52723,19.41249,19.04246,18.82241,0.1907429,22.42753,20.92222,19.8453,19.51089,19.27856,21.98633,20.52723,19.41249,19.04246,18.82241,131.581068667434,0.00220035945900796,3,QSO,AGN
1237650796213633612,21.93541,21.61075,21.71064,21.45096,21.3156,2.056025,21.95968,21.71046,21.82337,21.55691,21.37383,21.93541,21.61075,21.71064,21.45096,21.3156,131.538531089037,0.114329965282571,6,QSO,BROADLINE
1237650796750176896,21.97272,21.84897,21.7584,21.48786,21.20036,2.033075,21.98135,21.94032,21.8572,21.56807,21.28562,21.97272,21.84897,21.7584,21.48786,21.20036,130.866789921275,0.423941194747758,6,QSO,null
1237650796750176922,21.06527,20.65033,20.27236,19.89891,19.59473,0.5494353,21.16511,20.77524,20.4031,20.01705,19.75687,21.06527,20.65033,20.27236,19.89891,19.59473,130.924587356127,0.542362839608025,6,QSO,null
1237650796750242277,22.31759,20.70223,19.17048,18.65383,18.31833,0.266542,22.65494,21.34024,19.77889,19.26146,18.96065,22.31759,20.70223,19.17048,18.65383,18.31833,130.939500553994,0.555274561537027,3,QSO,AGN
1237661971731120134,18.74743,18.83961,18.87374,18.62952,18.48008,2.024207,18.74325,18.84742,18.88067,18.6399,18.4811,18.74743,18.83961,18.87374,18.62952,18.48008,204.942889230581,7.06233871276453,6,QSO,BROADLINE
1237661972268056637,18.33297,18.08962,17.96076,17.97285,17.92655,1.077367,18.32874,18.08588,17.97003,18.00028,17.92447,18.33297,18.08962,17.96076,17.97285,17.92655,205.218476886752,7.66892509165094,6,QSO,BROADLINE
1237661972268056639,18.71352,18.48928,18.49329,18.41351,18.46351,0.5671131,18.71027,18.49766,18.49951,18.41094,18.46361,18.71352,18.48928,18.49329,18.41351,18.46351,205.212695476838,7.53016352467666,6,QSO,BROADLINE
1237661972268056735,19.24757,18.90879,18.32772,18.03962,17.63963,0.2855271,19.91578,19.58492,19.31744,18.98257,18.53598,19.24757,18.90879,18.32772,18.03962,17.63963,205.193180126259,7.59972705441303,3,QSO,STARBURST BROADLINE
1237661972268122395,19.55927,19.24294,19.17609,18.96867,18.9865,1.729135,19.56014,19.24407,19.17604,18.97707,19.00145,19.55927,19.24294,19.17609,18.96867,18.9865,205.388876825844,7.53646980410358,6,QSO,null
1237661972268253379,20.29026,19.45227,19.14917,18.74275,18.74983,0.6278734,20.24683,19.45444,19.17984,18.79467,18.76281,20.29026,19.45227,19.14917,18.74275,18.74983,205.694227481034,7.56451867651304,6,QSO,BROADLINE
1237662247130693779,19.2358,19.23869,18.83978,18.80192,18.81186,1.289765,19.24586,19.25223,18.85642,18.81484,18.83093,19.2358,19.23869,18.83978,18.80192,18.81186,204.996454041053,7.88396186862959,6,QSO,BROADLINE
1237662247130693798,18.93784,17.49981,16.66198,16.18024,15.85204,0.0842641,20.51725,19.24814,18.44162,17.92071,17.57142,18.93784,17.49981,16.66198,16.18024,15.85204,205.027749746292,7.82957943902689,3,QSO,STARFORMING BROADLINE
1237662247130759244,17.82218,17.55199,17.63388,17.53862,17.5629,0.5374243,17.83587,17.58701,17.6552,17.5635,17.58912,17.82218,17.55199,17.63388,17.53862,17.5629,205.209017862692,7.8508899270757,6,QSO,BROADLINE
1237662262165241959,19.07298,19.27752,19.19799,18.93759,18.73725,2.070249,19.02366,19.28328,19.19677,18.94168,18.74084,19.07298,19.27752,19.19799,18.93759,18.73725,205.461438246131,8.26284973134102,6,QSO,BROADLINE
1237662638516666563,19.44365,19.12154,19.14182,19.04096,18.97079,0.6446854,19.45367,19.16155,19.18013,19.08005,18.99943,19.44365,19.12154,19.14182,19.04096,18.97079,225.873400370423,12.7051291697381,6,QSO,BROADLINE
1237664338253185307,21.25412,20.90157,20.87468,20.506,20.19508,0.5728635,21.27339,20.94563,20.95675,20.58648,20.26922,21.25412,20.90157,20.87468,20.506,20.19508,177.17624221358,37.3375569372858,6,QSO,BROADLINE
1237664338789925106,21.50353,21.40788,21.31505,21.11926,21.77472,1.648027,21.64863,21.59878,21.61245,21.30171,21.88544,21.50353,21.40788,21.31505,21.11926,21.77472,176.912542649975,37.8243502370436,6,QSO,null
1237664338789925422,23.09159,22.38608,21.79865,21.79902,21.62509,1.014526,23.06517,22.36201,21.7895,21.81693,21.64223,23.09159,22.38608,21.79865,21.79902,21.62509,176.878955450652,37.7186475170556,6,QSO,BROADLINE
1237664338789990504,23.25544,19.66883,19.35226,18.95169,19.03327,0.6036309,22.45713,19.63822,19.32398,18.93123,19.03428,23.25544,19.66883,19.35226,18.95169,19.03327,177.09493816208,37.8190128918492,6,QSO,BROADLINE
1237664338789990529,19.26361,19.17851,19.1116,18.8765,18.79068,1.761799,19.25289,19.18711,19.1015,18.88785,18.79761,19.26361,19.17851,19.1116,18.8765,18.79068,177.121005000592,37.7492863274528,6,QSO,BROADLINE
