objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237659324957262195,21.60069,20.05125,19.41596,19.14403,19.13663,-0.0004111873,21.60731,20.02878,19.42174,19.13923,19.13345,21.60069,20.05125,19.41596,19.14403,19.13663,249.38988020896,36.1380412973275,6,STAR,G8V (101501)
1237659329779990930,21.93001,21.9175,21.52963,21.2747,22.06409,-0.001336051,21.70408,22.09389,21.74253,21.44139,22.10557,21.93001,21.9175,21.52963,21.2747,22.06409,249.260969316709,36.3173747550766,6,STAR,A5Ia (17378)
1237665356156895340,24.35331,25.94455,21.84285,22.2683,23.32642,8.538716E-06,24.277,25.87515,21.91229,22.37676,23.26112,24.35331,25.94455,21.84285,22.2683,23.32642,244.688463251612,35.3067841349294,6,STAR,F0II (25291)
1237665356157026743,21.78707,21.03528,20.75958,20.59272,20.57331,-0.001027621,21.75583,21.02914,20.75499,20.5827,20.57184,21.78707,21.03528,20.75958,20.59272,20.57331,244.759435783637,35.6422866748283,6,STAR,F2V (33256)
1237672795570307316,22.29189,21.39089,20.95556,20.78251,20.52724,-0.000738816,22.26347,21.41386,20.99293,20.80164,20.48627,22.29189,21.39089,20.95556,20.78251,20.52724,1.795520791831,-5.19364624522945,6,STAR,F6V (16673)
1237679323383333111,21.05968,20.44364,20.07153,20.06025,19.81855,-0.0006067681,20.98092,20.46618,20.0849,20.07471,19.81428,21.05968,20.44364,20.07153,20.06025,19.81855,0.923006741196318,-4.91219928563759,6,STAR,F2V (33256)
1237676304558981137,18.97006,17.49965,16.91762,16.68893,16.57249,0.0001353273,18.95117,17.49558,16.9181,16.6979,16.57398,18.97006,17.49965,16.91762,16.68893,16.57249,73.5333395493817,-3.65361134843527,6,STAR,F9
1237676304558916096,22.39636,20.56998,19.08175,18.16291,17.73123,0.0002030303,22.34279,20.55796,19.07878,18.17346,17.72143,22.39636,20.56998,19.08175,18.16291,17.73123,73.4149416633941,-3.68722367051364,6,STAR,M2
1237676304558915804,18.816,17.48244,16.95509,16.77075,16.67554,0.000155824,18.82304,17.50563,16.96334,16.77801,16.67771,18.816,17.48244,16.95509,16.77075,16.67554,73.4688170012646,-3.64348152728245,6,STAR,F9
1237676304558915686,18.3744,17.14158,16.65036,16.4659,16.36977,0.0001546849,18.38536,17.16007,16.65076,16.47307,16.37828,18.3744,17.14158,16.65036,16.4659,16.36977,73.4906003466148,-3.76265744572751,6,STAR,F9
1237676304558850351,19.98477,19.08359,18.72628,18.58429,18.55457,-9.902248E-05,19.96724,19.11649,18.75902,18.6119,18.59579,19.98477,19.08359,18.72628,18.58429,18.55457,73.3132680084871,-3.84008671720759,6,STAR,F5
